Órgão,Cod. Solicitação Aquisição,Razão Social,Num. CPF/CNPJ,Qtd. Itens Adquiridos,Valor Total (R$),Objeto da Licitação,Item Solicitação Aquisição (Valor Unitário Adjudicado),Item Solicitação Aquisição (Qtde Item) * Item Solicitação Aquisição (Valor Unitário Adjudicado) *  CASE  WHEN Item Solicitação Aquisição (Qtde Periodo Contrato) >,Data da Solicitação
ABC,74813,-,905760000300,36,"2613,6",AQUISIÇÃO DE COPOS DESCARTÁVEIS DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.,"72,6","2613,6",2020-02-19
ABC,74814,-,905760000300,600,9120,"AQUISIÇÃO DE RESMAS DE PAPEL TAMANHO A4, PARA IMPRESSÃO OU FOTOCÓPIA","15,2",9120,2020-02-19
ABC,74892,OBJECTTI SOLUCOES LTDA - ME,11735236000192,1,140,"CERTIFICADO DIGITAL PARA PESSOA FÍSICA DO TIPO A1, VALIDADE 12 MESES.",140,140,2020-02-27
ABC,75163,-,16986930000104,1,85,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CALIBRAÇÃO DE EQUIPAMENTOS DE MEDIÇÃO AMBIENTAL COM EMISSÃO DE CERTIFICADO DE : (01) UM LUXÍMETRO E (01) UM DECIBELÍMETRO.,85,85,2020-03-09
ABC,75163,-,16986930000104,1,172,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CALIBRAÇÃO DE EQUIPAMENTOS DE MEDIÇÃO AMBIENTAL COM EMISSÃO DE CERTIFICADO DE : (01) UM LUXÍMETRO E (01) UM DECIBELÍMETRO.,172,172,2020-03-09
ABC,75202,SEMPRE COMÉRCIO DE ELEVADORES LTDA,6251572000120,1,480,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO CORRETIVA DE 01 (UM) ELEVADOR (UP CENTER).,480,480,2020-03-11
ABC,75202,SEMPRE COMÉRCIO DE ELEVADORES LTDA,6251572000120,1,874,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO CORRETIVA DE 01 (UM) ELEVADOR (UP CENTER).,874,874,2020-03-11
ABC,75322,BRASIL TELECOM S/A,76535764000143,12,"34,68",RENOVACÃO POR 12 MESES.,"2,89","34,68",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,143,"34834,8",RENOVACÃO POR 12 MESES.,"20,3","34834,8",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,12,"270,72",RENOVACÃO POR 12 MESES.,"22,56","270,72",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"286,44",RENOVACÃO POR 12 MESES.,"23,87","286,44",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"346,56",RENOVACÃO POR 12 MESES.,"28,88","346,56",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"383,52",RENOVACÃO POR 12 MESES.,"31,96","383,52",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"483,84",RENOVACÃO POR 12 MESES.,"40,32","483,84",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"537,6",RENOVACÃO POR 12 MESES.,"44,8","537,6",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,7,"3956,4",RENOVACÃO POR 12 MESES.,"47,1","3956,4",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"1166,16",RENOVACÃO POR 12 MESES.,"97,18","1166,16",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"3520,92",RENOVACÃO POR 12 MESES.,"293,41","3520,92",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"4023,24",RENOVACÃO POR 12 MESES.,"335,27","4023,24",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"9811,32",RENOVACÃO POR 12 MESES.,"817,61","9811,32",2020-03-20
ABC,75322,BRASIL TELECOM S/A,76535764000143,1,"63094,2",RENOVACÃO POR 12 MESES.,"5257,85","63094,2",2020-03-20
ABC,75394,BKM COMÉRCIO E LOCACÃO DE EQUIPAMENTOS LTDA,11255156000130,1,59940,RENOVACAO CONTRATUAL POR 12 MESES.,4995,59940,2020-03-26
ABC,75427,EMPRESA  BRASILEIRA DE CORREIOS E TELEGRAFOS,34028316000103,1,"9999,96",RENOVACAO CONTRATUAL POR 12 MESES.,"833,33","9999,96",2020-03-30
ABC,75429,ELETRONICA BIBIANO LTDA - ME,25126384000114,6,"58571,76",RENOVACAO CONTRATUAL POR 12 MESES.,"9761,96","58571,76",2020-03-30
ABC,75458,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"15300,95",RENOVAÇÃO CONTRATUAL POR 5 MESES.,"15300,95","15300,95",2020-04-01
ABC,75458,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"69619,33",RENOVAÇÃO CONTRATUAL POR 5 MESES.,"69619,33","69619,33",2020-04-01
ABC,75458,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"112206,97",RENOVAÇÃO CONTRATUAL POR 5 MESES.,"112206,97","112206,97",2020-04-01
ABC,75458,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"244900,23",RENOVAÇÃO CONTRATUAL POR 5 MESES.,"244900,23","244900,23",2020-04-01
ABC,75486,CAFÉ RANCHEIRO AGRO INDUSTRIAL LTDA,2924249000119,180,3060,AQUISIÇÃO DE MATERIAL DE CONSUMO (CAFÉ ) PARA A AGÊNCIA BRASIL CENTRAL (ABC).,17,3060,2020-04-03
ABC,75487,FONSECA E MARTINS COMERCIO DE GAS LTDA ME,961053000179,360,954,AQUISIÇÃO DE MATERIAIS DE CONSUMO (AÇÚCAR) PARA A AGÊNCIA BRASIL CENTRAL (ABC).,"2,65",954,2020-04-03
ABC,75612,-,35959656000110,150,"673,5","MÁSCARA DE PROTEÇÃO DE PANO REUTILIZÁVEL, COMPOSTA DE TRÊS CAMADAS DE TECIDO, SENDO DUAS EXTERNAS EM TRICOLINE/ALGODÃO ENTREMEADA COM UMA CAMADA DE TNT ATÓXICA, HIPOALERGÊNICA, CONFECCIONADA PARA A PROTEÇÃO DO USUÁRIO PELAS VIAS BUCAIS E NASAIS. ","4,49","673,5",2020-04-17
ABC,75752,NSA SOLUCOES LTDA ME,19987085000171,200,1688,"AQUISIÇÃO DE 200 (DUZENTOS) FRASCOS DE ÁLCOOL ETÍLICO EM GEL ANTISSÉPTICO PARA AS MÃOS, CONCENTRAÇÃO DE 70%, COM CONTEÚDO DE 480 ML A 500 ML CADA, EM CARÁTER DE URGÊNCIA.","8,44",1688,2020-05-05
ABC,75891,-,21660202000130,6,192,"AQUISIÇÃO DE  6 (SEIS) CORREIAS PARA MANUTENÇÃO CORRETIVA E PREVENTIVA EM SISTEMA DE CLIMATIZAÇÃO DAS RÁDIOS AM/FM. ",32,192,2020-05-19
ABC,75891,-,21660202000130,6,204,"AQUISIÇÃO DE  6 (SEIS) CORREIAS PARA MANUTENÇÃO CORRETIVA E PREVENTIVA EM SISTEMA DE CLIMATIZAÇÃO DAS RÁDIOS AM/FM. ",34,204,2020-05-19
ABC,75891,-,21660202000130,3,1521,"AQUISIÇÃO DE  6 (SEIS) CORREIAS PARA MANUTENÇÃO CORRETIVA E PREVENTIVA EM SISTEMA DE CLIMATIZAÇÃO DAS RÁDIOS AM/FM. ",507,1521,2020-05-19
ABC,76067,-,1543032000104,1,714000,RENOVAÇÃO DE DOTAÇÃO ORÇAMENTÁRIA.,59500,714000,2020-06-03
ABC,76079,-,1543032000104,1,322000,RENOVAÇÃO DOTAÇÃO ORÇAMENTÁRIA.,322000,322000,2020-06-03
ABC,76081,-,1543032000104,1,252000,RENOVAÇÃO DOTAÇÃO ORÇAMENTÁRIA.,21000,252000,2020-06-03
ABC,76216,EMPRESA BRASILEIRA DE TECNOLOGIA E ADMINISTRAÇÃO DE CONVÊNIOS HOM LTDA,3506307000157,1,366,RENOVAÇÃO CONTRATUAL POR 12 MESES.,366,366,2020-06-16
ABC,76216,EMPRESA BRASILEIRA DE TECNOLOGIA E ADMINISTRAÇÃO DE CONVÊNIOS HOM LTDA,3506307000157,1,"27864,47",RENOVAÇÃO CONTRATUAL POR 12 MESES.,"27864,47","27864,47",2020-06-16
ABC,76360,AVISO URGENTE - CLIPPING E SOFTWARES LTDA,190951000170,1,"1874,11",PRORROGAÇÃO CONTRATUAL POR 12 MESES.,"1874,11","1874,11",2020-06-30
ABC,76438,-,37622727000110,1,200,"AQUISIÇÃO DE 01 (UM) CERTI&#64257;CADO DIGITAL PO A1, PESSOA JURÍDICA (E-CNPJ), VALIDADE 1 ANO. ",200,200,2020-07-03
ABC,76531,-,37268379000125,4,1080,AQUISIÇÃO DE “TERMÔMETRO DIGITAL INFRAVERMELHO SEM CONTATO ACOMPANHADO DAS BATERIAS/PILHAS”,270,1080,2020-07-14
ABC,76880,-,10636142000101,1540,79464,PRORROGAÇÃO CONTRATO POR 12 MESES.,"4,3",79464,2020-08-14
ABC,76915,-,34353401000147,21,9072,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE GERENCIAMENTO DE RESÍDUOS SÓLIDOS PRODUZIDOS PELA ABC DESDE COLETA, TRANSPORTE E DESTINAÇÃO FINAL.",36,9072,2020-08-18
ABC,76930,EDITORA DIÁRIO DO ESTADO - EIRELI - ME,24946442000193,1200,7800,CONTRATAÇÃO DE JORNAL DE GRANDE CIRCULAÇÃO PARA PUBLICAÇÕES OFICIAIS.,"6,5",7800,2020-08-19
ABC,77007,KGA DESENVOLVIMENTO E TECNOLOGIA EIRELI,24784257000140,4000,7880,"&#8203;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DO SERVIÇO DE TRANSPORTE INDIVIDUAL DE PASSAGEIROS, MEDIANTE CHAMADA POR APLICATIVO DE CELULAR E OUTROS CANAIS DE ATENDIMENTO.","1,97",7880,2020-08-25
ABC,77124,-,4768835000147,2,17280,"AQUISIÇÃO DE SOLUÇÃO DE AUTOMAÇÃO PARA RBC FM E RBC AM, INCLUINDO SOFTWARES COM LICENÇAS PERPÉTUAS E GARANTIA PARA A AGÊNCIA BRASIL CENTRAL (ABC).",8640,17280,2020-09-01
ABC,77187,REAL JG SERVIÇOS GERAIS EIRELI,8247960000162,1,"35099,88",RENOVAÇÃO CONTRATUAL POR 12 MESES.,"2924,99","35099,88",2020-09-09
ABC,77187,REAL JG SERVIÇOS GERAIS EIRELI,8247960000162,21,"745312,68",RENOVAÇÃO CONTRATUAL POR 12 MESES.,"2957,59","745312,68",2020-09-09
ABC,77187,REAL JG SERVIÇOS GERAIS EIRELI,8247960000162,1,"40956,6",RENOVAÇÃO CONTRATUAL POR 12 MESES.,"3413,05","40956,6",2020-09-09
ABC,77187,REAL JG SERVIÇOS GERAIS EIRELI,8247960000162,2,"85443,12",RENOVAÇÃO CONTRATUAL POR 12 MESES.,"3560,13","85443,12",2020-09-09
ABC,77187,REAL JG SERVIÇOS GERAIS EIRELI,8247960000162,1,6924,RENOVAÇÃO CONTRATUAL POR 12 MESES.,6924,6924,2020-09-09
ABC,77236,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"12852,79",RENOVAÇÃO CONTRATUAL POR 6 MESES.,"12852,79","12852,79",2020-09-14
ABC,77236,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"58480,21",RENOVAÇÃO CONTRATUAL POR 6 MESES.,"58480,21","58480,21",2020-09-14
ABC,77236,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"94253,85",RENOVAÇÃO CONTRATUAL POR 6 MESES.,"94253,85","94253,85",2020-09-14
ABC,77236,SERVITEL - SERVICOS ELETRÔNICOS LTDA - ME,2346237000154,1,"205716,19",RENOVAÇÃO CONTRATUAL POR 6 MESES.,"205716,19","205716,19",2020-09-14
ABC,77237,NAO INFORMADO,0,1,0,"CONTRATAÇÃO DE ASSINATURA ANUAL PARA ACESSO AOS SERVIÇOS DO SISTEMA BANCO DE PREÇOS, ATRAVÉS DO SITE NEGÓCIOS PÚBLICOS.",0,0,2020-09-14
ABC,77277,NAO INFORMADO,0,5,0,"AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.",0,0,2020-09-16
ABC,77278,MODERNA COMERCIAL DE PAPÉIS LTDA - ME,6338087000198,120,"298,8","AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.","2,49","298,8",2020-09-16
ABC,77278,MODERNA COMERCIAL DE PAPÉIS LTDA - ME,6338087000198,80,264,"AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.","3,3",264,2020-09-16
ABC,77278,MODERNA COMERCIAL DE PAPÉIS LTDA - ME,6338087000198,80,1100,"AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.","13,75",1100,2020-09-16
ABC,77278,MODERNA COMERCIAL DE PAPÉIS LTDA - ME,6338087000198,60,945,"AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.","15,75",945,2020-09-16
ABC,77278,MODERNA COMERCIAL DE PAPÉIS LTDA - ME,6338087000198,40,1344,"AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.","33,6",1344,2020-09-16
ABC,77278,MODERNA COMERCIAL DE PAPÉIS LTDA - ME,6338087000198,5,324,"AQUISIÇÃO DE CARREGADOR DE PILHAS AA, AAA, BATERIA 9V., ALCALINA, BATERIA 9V., ALCALINA RECARREGÁVEL, PILHAS ALCALINAS 1.5V AA, AAA E PILHA AA RECARREGÁVEL DE 2500MA DESTINADO A ATENDER AS DEMANDAS DA AGÊNCIA BRASIL CENTRAL.","64,8",324,2020-09-16
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,21,462,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",22,462,2020-09-17
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,17,425,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",25,425,2020-09-17
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,1,35,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",35,35,2020-09-17
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,36,1728,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",48,1728,2020-09-17
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,39,1950,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",50,1950,2020-09-17
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,2,150,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",75,150,2020-09-17
ABC,77280,DOURADO EXTINTORES LTDA,3387711000159,1,150,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM RECARGA, INSPEÇÃO E MANUTENÇÃO DE EXTINTORES DE INCÊNDIO DA ABC – SEDE, FAZENDA BANANAL E MORRO DO MENDANHA.",150,150,2020-09-17
ABC,77375,-,26337208000194,8,3776,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MARCENARIA COM FORNECIMENTO DE MATERIAL E AQUISIÇÕES DE MATERIAIS DE ÁUDIO E VÍDEO.,472,3776,2020-09-24
ABC,77375,-,26337208000194,9,"6299,91",CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MARCENARIA COM FORNECIMENTO DE MATERIAL E AQUISIÇÕES DE MATERIAIS DE ÁUDIO E VÍDEO.,"699,99","6299,91",2020-09-24
ABC,77375,-,26337208000194,"7,2",5976,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MARCENARIA COM FORNECIMENTO DE MATERIAL E AQUISIÇÕES DE MATERIAIS DE ÁUDIO E VÍDEO.,830,5976,2020-09-24
ABC,77375,-,26337208000194,"4,8",4320,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MARCENARIA COM FORNECIMENTO DE MATERIAL E AQUISIÇÕES DE MATERIAIS DE ÁUDIO E VÍDEO.,900,4320,2020-09-24
ABC,77375,-,26337208000194,1,1800,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MARCENARIA COM FORNECIMENTO DE MATERIAL E AQUISIÇÕES DE MATERIAIS DE ÁUDIO E VÍDEO.,1800,1800,2020-09-24
ABC,77375,-,26337208000194,1,4500,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MARCENARIA COM FORNECIMENTO DE MATERIAL E AQUISIÇÕES DE MATERIAIS DE ÁUDIO E VÍDEO.,4500,4500,2020-09-24
ABC,77376,NAO INFORMADO,0,14,0,"PRORROGAÇÃO POR 90 DIAS, ATÉ QUE SE CONCLUA NOVA LICITAÇÃO.",0,0,2020-09-24
ABC,77385,NAO INFORMADO,0,12,0,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DO SERVIÇO DE LOCAÇÃO DE VEÍCULOS COM MOTORISTA, JÁ INCLUSOS OS GASTOS COM MÃO DE OBRA, COMBUSTÍVEL, MANUTENÇÃO, SEGURO E RASTREADOR"".",0,0,2020-09-24
ABC,77389,-,20307270000157,1,12000,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE PODA, ROÇAGEM, CAPINA E ACEIRO COM RESPECTIVO FORNECIMENTO DE MÃO DE OBRA.",12000,12000,2020-09-24
ABC,77396,-,26337208000194,"21,45","4032,6","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE INSTALAÇÃO DE REVESTIMENTO ACÚSTICO, COM FORNECIMENTO DAS PLACAS ACÚSTICAS, NOS TERMOS E CONDIÇÕES CONSTANTES NESTE TERMO, E DEMAIS MATERIAIS NECESSÁRIOS, NAS DEPENDÊNCIAS DA RÁDIO BRASIL CENTRAL.",188,"4032,6",2020-09-25
ABC,77396,-,26337208000194,22,4840,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE INSTALAÇÃO DE REVESTIMENTO ACÚSTICO, COM FORNECIMENTO DAS PLACAS ACÚSTICAS, NOS TERMOS E CONDIÇÕES CONSTANTES NESTE TERMO, E DEMAIS MATERIAIS NECESSÁRIOS, NAS DEPENDÊNCIAS DA RÁDIO BRASIL CENTRAL.",220,4840,2020-09-25
AGEHAB,74768,NAO INFORMADO,0,5765,0,REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE E ESCRITÓRIO/PAPELARIA DE USOS GERAL PARA AS UNIDADES ADMINISTRATIVAS DA AGÊNCIA GOIANA DE HABITAÇÃO - AGEHAB.,0,0,2020-02-18
AGEHAB,74931,NAO INFORMADO,0,12,0,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAR SERVIÇOS TÉCNICOS, ESPECIFICAMENTE VOLTADOS À REALIZAÇÃO DE AUDITORIA INDEPENDENTE, PARA ELABORAÇÃO DE PARECER ESPECÍFICO PARA DEMONSTRAR E ATESTAR O DÉFICIT DE MANUTENÇÃO DA AGÊNCIA GOIANA DE HABITAÇÃO S/A.",0,0,2020-02-28
AGEHAB,74933,NAO INFORMADO,0,3500,0,"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE TRIAGEM, CADASTRAMENTO EM DOMICÍLIO DO PRETENSO BENEFICIÁRIO ATRAVÉS DE UM COMPUTADOR DE MÃO COM SENSOR DE GPS EMBUTIDO, CONFERÊNCIA DE INFORMAÇÕES PRESTADAS E DOCUMENTAÇÃO APRESENTADA E, TAMBÉM, COLETA DE DOCUMENTOS, DIGITALIZAÇÃO DE DOCUMENTOS E ASSINATURAS DE FAMÍLIAS EM VÁRIAS REGIÕES DO ESTADO DE GOIÁS.",0,0,2020-02-28
